Year Filter,Order Date,Year of Sale,Returned?,Days to Ship,Approver,Return Notes,Order ID,Return Reason,Category,City,Country,Customer ID,Customer Name,Discount,Postal Code,Product ID,Product Name,Profit,Quantity,Region,Row ID,Segment,Ship Date,Ship Mode,State,Sub-Category,Sales
1/1/2022,6/8/2022,1/1/2018,,4,,,,,Office Supplies,Pasadena,United States,Dl-13600,Dorris liebe,0.8,77506,OFF-AP-10002203,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,-4.466,2,Central,262,Corporate,6/12/2018,Standard Class,Texas,Appliances,1.624
1/1/2022,8/10/2022,1/1/2018,,5,,,,,Office Supplies,Columbus,United States,IL-15100,Ivan Liston,0,47201,OFF-EN-10003134,Staple envelope,35.04,6,Central,2188,Consumer,8/15/2018,Standard Class,Indiana,Envelopes,70.08
1/1/2022,11/19/2022,1/1/2018,,4,,,,,Furniture,Chicago,United States,JH-15910,Jonathan Howell,0.5,60623,FUR-TA-10002533,BPI Conference Tables,-131.445,3,Central,304,Consumer,11/23/2018,Standard Class,Illinois,Tables,219.075
1/1/2022,5/29/2022,1/1/2018,,6,,,,,Office Supplies,Harlingen,United States,GT-14755,Guy Thornton,0.2,78550,OFF-PA-10002036,Xerox 1930,9.396,5,Central,371,Consumer,6/4/2018,Standard Class,Texas,Paper,25.92
1/1/2022,5/29/2022,1/1/2018,,6,,,,,Office Supplies,Harlingen,United States,GT-14755,Guy Thornton,0.2,78550,OFF-ST-10002205,File Shuttle I and Handi-File,4.6746,3,Central,372,Consumer,6/4/2018,Standard Class,Texas,Storage,53.424
1/1/2022,11/23/2022,1/1/2018,,3,,,,,Furniture,Canton,United States,JM-15265,Janet Molinari,0,48187,FUR-FU-10003347,Coloredge Poster Frame,11.076,2,Central,426,Corporate,11/26/2018,Second Class,Michigan,Furnishings,28.4
1/1/2022,11/23/2022,1/1/2018,,3,,,,,Office Supplies,Canton,United States,JM-15265,Janet Molinari,0,48187,OFF-BI-10001543,GBC VeloBinder Manual Binding System,138.2016,8,Central,427,Corporate,11/26/2018,Second Class,Michigan,Binders,287.92
1/1/2022,10/1/2022,1/1/2018,,7,,,,,Office Supplies,San Antonio,United States,KH-16630,Ken Heidel,0.2,78207,OFF-AR-10000369,Design Ebony Sketching Pencil,0.5004,6,Central,429,Corporate,10/8/2018,Standard Class,Texas,Art,6.672
1/1/2022,9/15/2022,1/1/2018,,4,,,,,Office Supplies,Houston,United States,BB-11545,Brenda Bowman,0.2,77070,OFF-PA-10002230,Xerox 1897,11.5536,8,Central,439,Corporate,9/19/2018,Standard Class,Texas,Paper,31.872
1/1/2022,3/20/2022,1/1/2018,,5,,,,,Furniture,Columbus,United States,TB-21595,Troy Blackwell,0,47201,FUR-FU-10000206,GE General Purpose Extra Long Life Showcase & Floodlight Incandescent Bulbs,1.3677,1,Central,447,Consumer,3/25/2018,Second Class,Indiana,Furnishings,2.91
1/1/2022,3/31/2022,1/1/2018,,4,,,,,Furniture,Amarillo,United States,DS-13180,David Smith,0.32,79109,FUR-BO-10002824,Bush Mission Pointe Library,-36.2352,2,Central,469,Corporate,4/4/2018,Standard Class,Texas,Bookcases,205.3328
1/1/2022,11/26/2022,1/1/2018,,1,,,,,Furniture,Gladstone,United States,LS-17245,Lynn Smith,0,64118,FUR-FU-10001290,Executive Impressions Supervisor Wall Clock,40.416,3,Central,511,Consumer,11/27/2018,First Class,Missouri,Furnishings,126.3
1/1/2022,11/26/2022,1/1/2018,,1,,,,,Technology,Gladstone,United States,LS-17245,Lynn Smith,0,64118,TEC-AC-10002399,SanDisk Cruzer 32 GB USB Flash Drive,12.1728,2,Central,512,Consumer,11/27/2018,First Class,Missouri,Accessories,38.04
1/1/2022,1/23/2022,1/1/2018,,2,,,,,Furniture,Detroit,United States,MC-17605,Matt Connell,0,48234,FUR-TA-10001857,Balt Solid Wood Rectangular Table,21.098,2,Central,523,Corporate,1/25/2018,First Class,Michigan,Tables,210.98
1/1/2022,9/3/2022,1/1/2018,,5,,,,,Office Supplies,Chicago,United States,EP-13915,Emily Phan,0.8,60653,OFF-BI-10002429,Premier Elliptical Ring Binder Black,-68.1856,7,Central,537,Consumer,9/8/2018,Second Class,Illinois,Binders,42.616
1/1/2022,11/24/2022,1/1/2018,,4,,,,,Office Supplies,Houston,United States,GT-14710,Greg Tran,0.2,77070,OFF-FA-10004248,Advantus T-Pin Paper Clips,2.5707,3,Central,554,Consumer,11/28/2018,Standard Class,Texas,Fasteners,10.824
1/1/2022,7/20/2022,1/1/2018,,6,,,,,Office Supplies,Chicago,United States,CS-11950,Carlos Soltero,0.2,60610,OFF-ST-10002974,Trav-L-File Heavy-Duty Shuttle II Black,8.714,2,Central,579,Consumer,7/26/2018,Standard Class,Illinois,Storage,69.712
1/1/2022,7/20/2022,1/1/2018,,6,,,,,Furniture,Chicago,United States,CS-11950,Carlos Soltero,0.6,60610,FUR-FU-10001475,Contract Clock 14 Brown,-5.7148,1,Central,580,Consumer,7/26/2018,Standard Class,Illinois,Furnishings,8.792
1/1/2022,6/10/2022,1/1/2018,,5,,,,,Technology,Rochester Hills,United States,SC-20305,Sean Christensen,0,48307,TEC-AC-10003832,Imation 16GB Mini TravelDrive USB 2.0 Flash Drive,54.3332,4,Central,644,Consumer,6/15/2018,Standard Class,Michigan,Accessories,132.52
1/1/2022,12/30/2022,1/1/2018,,6,,,,,Office Supplies,Columbus,United States,CC-12430,Chuck Clark,0,47201,OFF-AP-10002457,Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum Red,56.511,2,Central,646,Home Office,1/5/2019,Standard Class,Indiana,Appliances,209.3
1/1/2022,6/8/2022,1/1/2018,,2,,,,,Office Supplies,Dallas,United States,TH-21235,Tiffany House,0.2,75081,OFF-SU-10004231,Acme Tagit Stainless Steel Antibacterial Scissors,2.079,3,Central,666,Corporate,6/10/2018,Second Class,Texas,Supplies,23.76
1/1/2022,6/8/2022,1/1/2018,,2,,,,,Office Supplies,Dallas,United States,TH-21235,Tiffany House,0.2,75081,OFF-PA-10000474,Easy-staple paper,28.7064,3,Central,667,Corporate,6/10/2018,Second Class,Texas,Paper,85.056
1/1/2022,6/8/2022,1/1/2018,,2,,,,,Technology,Dallas,United States,TH-21235,Tiffany House,0.2,75081,TEC-PH-10004042,ClearOne Communications CHAT 70 OC Speaker Phone,28.6182,3,Central,668,Corporate,6/10/2018,Second Class,Texas,Phones,381.576
1/1/2022,6/9/2022,1/1/2018,,4,,,,,Furniture,Chicago,United States,MO-17800,Meg O'Connel,0.6,60653,FUR-FU-10002759,12-1/2 Diameter Round Wall Clock,-14.3856,3,Central,670,Home Office,6/13/2018,Standard Class,Illinois,Furnishings,23.976
1/1/2022,6/9/2022,1/1/2018,,4,,,,,Furniture,Chicago,United States,MO-17800,Meg O'Connel,0.5,60653,FUR-TA-10000688,Chromcraft Bull-Nose Wood Round Conference Table Top Wood Base,-71.8905,1,Central,671,Home Office,6/13/2018,Standard Class,Illinois,Tables,108.925
1/1/2022,6/9/2022,1/1/2018,,4,,,,,Office Supplies,Chicago,United States,MO-17800,Meg O'Connel,0.2,60653,OFF-PA-10002377,Adams Telephone Message Book W/Dividers/Space For Phone Numbers 5 1/4X8 1/2 200/Messages,11.36,8,Central,672,Home Office,6/13/2018,Standard Class,Illinois,Paper,36.352
1/1/2022,6/15/2022,1/1/2018,,7,,,,,Office Supplies,Quincy,United States,TD-20995,Tamara Dahlen,0.2,62301,OFF-AR-10001954,Newell 331,1.7115,5,Central,673,Consumer,6/22/2018,Standard Class,Illinois,Art,19.56
1/1/2022,12/5/2022,1/1/2018,,3,,,,,Office Supplies,Columbus,United States,RB-19570,Rob Beeghly,0,47201,OFF-AP-10004532,Kensington 6 Outlet Guardian Standard Surge Protector,16.5888,3,Central,674,Consumer,12/8/2018,First Class,Indiana,Appliances,61.44
1/1/2022,12/5/2022,1/1/2018,,3,,,,,Office Supplies,Columbus,United States,RB-19570,Rob Beeghly,0,47201,OFF-PA-10002137,Southworth 100% Résumé Paper 24lb.,17.505,5,Central,675,Consumer,12/8/2018,First Class,Indiana,Paper,38.9
1/1/2022,12/5/2022,1/1/2018,,3,,,,,Technology,Columbus,United States,RB-19570,Rob Beeghly,0,47201,TEC-AC-10003832,Imation 16GB Mini TravelDrive USB 2.0 Flash Drive,40.7499,3,Central,676,Consumer,12/8/2018,First Class,Indiana,Accessories,99.39
1/1/2022,3/18/2022,1/1/2018,,5,,,,,Office Supplies,Tyler,United States,CD-11980,Carol Darley,0.8,75701,OFF-AP-10000804,Hoover Portapower Portable Vacuum,-7.392,3,Central,677,Consumer,3/23/2018,Standard Class,Texas,Appliances,2.688
1/1/2022,3/18/2022,1/1/2018,,5,,,,,Technology,Tyler,United States,CD-11980,Carol Darley,0.2,75701,TEC-AC-10003614,Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc 10/Pack,4.5201,3,Central,678,Consumer,3/23/2018,Standard Class,Texas,Accessories,27.816
1/1/2022,3/18/2022,1/1/2018,,5,,,,,Furniture,Tyler,United States,CD-11980,Carol Darley,0.6,75701,FUR-FU-10003553,Howard Miller 13-1/2 Diameter Rosebrook Wall Clock,-41.262,3,Central,679,Consumer,3/23/2018,Standard Class,Texas,Furnishings,82.524
1/1/2022,3/18/2022,1/1/2018,,5,,,,,Office Supplies,Tyler,United States,CD-11980,Carol Darley,0.8,75701,OFF-BI-10004632,Ibico Hi-Tech Manual Binding System,-320.2395,3,Central,680,Consumer,3/23/2018,Standard Class,Texas,Binders,182.994
1/1/2022,9/16/2022,1/1/2018,,4,,,,,Office Supplies,Austin,United States,JF-15355,Jay Fein,0.2,78745,OFF-EN-10001141,Manila Recycled Extra-Heavyweight Clasp Envelopes 6 x 9,6.3684,2,Central,726,Consumer,9/20/2018,Standard Class,Texas,Envelopes,17.568
1/1/2022,9/16/2022,1/1/2018,,4,,,,,Technology,Austin,United States,JF-15355,Jay Fein,0.2,78745,TEC-PH-10002170,ClearSounds CSC500 Amplified Spirit Phone Corded phone,5.5992,1,Central,727,Consumer,9/20/2018,Standard Class,Texas,Phones,55.992
1/1/2022,10/2/2022,1/1/2018,,4,,,,,Office Supplies,Trenton,United States,RF-19735,Roland Fjeld,0,48183,OFF-BI-10003638,GBC Durable Plastic Covers,26.703,3,Central,750,Consumer,10/6/2018,Standard Class,Michigan,Binders,58.05
1/1/2022,10/2/2022,1/1/2018,,4,,,,,Furniture,Trenton,United States,RF-19735,Roland Fjeld,0,48183,FUR-FU-10003577,Nu-Dell Leatherette Frames,56.7864,11,Central,751,Consumer,10/6/2018,Standard Class,Michigan,Furnishings,157.74
1/1/2022,10/2/2022,1/1/2018,,4,,,,,Office Supplies,Trenton,United States,RF-19735,Roland Fjeld,0,48183,OFF-AR-10003478,Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters 4/Pack,22.792,7,Central,752,Consumer,10/6/2018,Standard Class,Michigan,Art,56.98
1/1/2022,10/2/2022,1/1/2018,,4,,,,,Office Supplies,Trenton,United States,RF-19735,Roland Fjeld,0,48183,OFF-BI-10000546,Avery Durable Binders,1.4112,1,Central,753,Consumer,10/6/2018,Standard Class,Michigan,Binders,2.88
1/1/2022,9/18/2022,1/1/2018,,4,,,,,Office Supplies,Green Bay,United States,BF-11020,Barry Französisch,0,54302,OFF-PA-10002377,Adams Telephone Message Book W/Dividers/Space For Phone Numbers 5 1/4X8 1/2 200/Messages,10.224,4,Central,760,Corporate,9/22/2018,Standard Class,Wisconsin,Paper,22.72
1/1/2022,1/30/2022,1/1/2018,,6,,,,,Office Supplies,Des Moines,United States,BV-11245,Benjamin Venier,0,50315,OFF-BI-10001036,Cardinal EasyOpen D-Ring Binders,9.14,2,Central,771,Corporate,2/5/2018,Standard Class,Iowa,Binders,18.28
1/1/2022,1/30/2022,1/1/2018,,6,,,,,Technology,Des Moines,United States,BV-11245,Benjamin Venier,0,50315,TEC-PH-10004614,AT&T 841000 Phone,51.75,3,Central,772,Corporate,2/5/2018,Standard Class,Iowa,Phones,207
1/1/2022,1/30/2022,1/1/2018,,6,,,,,Office Supplies,Des Moines,United States,BV-11245,Benjamin Venier,0,50315,OFF-BI-10000301,GBC Instant Report Kit,16.175,5,Central,773,Corporate,2/5/2018,Standard Class,Iowa,Binders,32.35
1/1/2022,1/30/2022,1/1/2018,,6,,,,,Office Supplies,Des Moines,United States,BV-11245,Benjamin Venier,0,50315,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,3.4695,1,Central,774,Corporate,2/5/2018,Standard Class,Iowa,Binders,7.71
1/1/2022,1/30/2022,1/1/2018,,6,,,,,Office Supplies,Des Moines,United States,BV-11245,Benjamin Venier,0,50315,OFF-AR-10004648,Boston 19500 Mighty Mite Electric Pencil Sharpener,10.881,2,Central,775,Corporate,2/5/2018,Standard Class,Iowa,Art,40.3
1/1/2022,1/30/2022,1/1/2018,,6,,,,,Furniture,Des Moines,United States,BV-11245,Benjamin Venier,0,50315,FUR-FU-10002597,C-Line Magnetic Cubicle Keepers Clear Polypropylene,14.5236,7,Central,776,Corporate,2/5/2018,Standard Class,Iowa,Furnishings,34.58
1/1/2022,9/21/2022,1/1/2018,,5,,,,,Office Supplies,Rochester,United States,RH-19495,Rick Hansen,0,55901,OFF-BI-10000546,Avery Durable Binders,9.8784,7,Central,796,Consumer,9/26/2018,Standard Class,Minnesota,Binders,20.16
1/1/2022,8/21/2022,1/1/2018,,7,,,,,Office Supplies,Lakeville,United States,GT-14710,Greg Tran,0,55044,OFF-FA-10002280,Advantus Plastic Paper Clips,16.8,7,Central,827,Consumer,8/28/2018,Standard Class,Minnesota,Fasteners,35
1/1/2022,8/21/2022,1/1/2018,,7,,,,,Office Supplies,Lakeville,United States,GT-14710,Greg Tran,0,55044,OFF-SU-10000381,Acme Forged Steel Scissors with Black Enamel Handles,10.7996,4,Central,828,Consumer,8/28/2018,Standard Class,Minnesota,Supplies,37.24
1/1/2022,8/21/2022,1/1/2018,,7,,,,,Office Supplies,Lakeville,United States,GT-14710,Greg Tran,0,55044,OFF-EN-10004459,Security-Tint Envelopes,7.4872,2,Central,829,Consumer,8/28/2018,Standard Class,Minnesota,Envelopes,15.28
1/1/2022,6/26/2022,1/1/2018,,1,,,,,Office Supplies,Detroit,United States,TH-21550,Tracy Hopkins,0,48227,OFF-PA-10001622,Ampad Poly Cover Wirebound Steno Book 6 x 9 Assorted Colors Gregg Ruled,2.043,1,Central,892,Home Office,6/27/2018,First Class,Michigan,Paper,4.54
1/1/2022,6/26/2022,1/1/2018,,1,,,,,Office Supplies,Detroit,United States,TH-21550,Tracy Hopkins,0,48227,OFF-AR-10003158,Fluorescent Highlighters by Dixon,5.4128,4,Central,893,Home Office,6/27/2018,First Class,Michigan,Art,15.92
1/1/2022,6/26/2022,1/1/2018,,1,,,,,Technology,Detroit,United States,TH-21550,Tracy Hopkins,0,48227,TEC-PH-10002660,Nortel Networks T7316 E Nt8 B27,135.98,8,Central,894,Home Office,6/27/2018,First Class,Michigan,Phones,543.92
1/1/2022,11/11/2022,1/1/2018,,2,,,,,Office Supplies,Garland,United States,TD-20995,Tamara Dahlen,0.2,75043,OFF-LA-10001045,Permanent Self-Adhesive File Folder Labels for Typewriters by Universal,3.393,5,Central,901,Consumer,11/13/2018,First Class,Texas,Labels,10.44
1/1/2022,11/11/2022,1/1/2018,,2,,,,,Office Supplies,Garland,United States,TD-20995,Tamara Dahlen,0.8,75043,OFF-BI-10001510,Deluxe Heavy-Duty Vinyl Round Ring Binder,-32.088,4,Central,902,Consumer,11/13/2018,First Class,Texas,Binders,18.336
1/1/2022,9/15/2022,1/1/2018,,2,,,,,Technology,Chicago,United States,DB-13060,Dave Brooks,0.2,60653,TEC-PH-10004536,Avaya 5420 Digital phone,20.2485,3,Central,903,Consumer,9/17/2018,First Class,Illinois,Phones,323.976
1/1/2022,9/2/2022,1/1/2018,,5,,,,,Technology,Jackson,United States,BE-11335,Bill Eplett,0,49201,TEC-PH-10001494,Polycom CX600 IP Phone VoIP phone,323.946,4,Central,910,Home Office,9/7/2018,Standard Class,Michigan,Phones,1199.8
1/1/2022,9/2/2022,1/1/2018,,5,,,,,Technology,Jackson,United States,BE-11335,Bill Eplett,0,49201,TEC-AC-10004666,Maxell iVDR EX 500GB Cartridge,829.3754,7,Central,911,Home Office,9/7/2018,Standard Class,Michigan,Accessories,1928.78
1/1/2022,9/2/2022,1/1/2018,,5,,,,,Office Supplies,Jackson,United States,BE-11335,Bill Eplett,0,49201,OFF-ST-10003816,Fellowes High-Stak Drawer Files,81.0474,2,Central,912,Home Office,9/7/2018,Standard Class,Michigan,Storage,352.38
1/1/2022,11/27/2022,1/1/2018,,2,,,,,Furniture,Milwaukee,United States,BM-11650,Brian Moss,0,53209,FUR-FU-10004091,Howard Miller 13 Diameter Goldtone Round Wall Clock,19.2454,1,Central,914,Corporate,11/29/2018,First Class,Wisconsin,Furnishings,46.94
1/1/2022,11/27/2022,1/1/2018,Yes,2,,,CA-2018-102519,Defective,Technology,Milwaukee,United States,BM-11650,Brian Moss,0,53209,TEC-AC-10001772,Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,56.0547,9,Central,915,Corporate,11/29/2018,First Class,Wisconsin,Accessories,143.73
1/1/2022,12/28/2022,1/1/2018,,4,,,,,Office Supplies,Round Rock,United States,GH-14665,Greg Hansen,0.2,78664,OFF-AR-10001958,Stanley Bostitch Contemporary Electric Pencil Sharpeners,2.7168,2,Central,954,Consumer,1/1/2019,Standard Class,Texas,Art,27.168
1/1/2022,12/28/2022,1/1/2018,,4,,,,,Furniture,Round Rock,United States,GH-14665,Greg Hansen,0.32,78664,FUR-BO-10004709,Bush Westfield Collection Bookcases Medium Cherry Finish,-11.596,2,Central,955,Consumer,1/1/2019,Standard Class,Texas,Bookcases,78.8528
1/1/2022,1/7/2022,1/1/2018,,3,,,,,Technology,Detroit,United States,BW-11110,Bart Watters,0.1,48205,TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,679.996,2,Central,978,Corporate,1/10/2018,First Class,Michigan,Machines,3059.982
1/1/2022,9/29/2022,1/1/2018,,6,,,,,Office Supplies,Pasadena,United States,AS-10630,Ann Steele,0.2,77506,OFF-LA-10001569,Avery 499,2.5896,2,Central,985,Home Office,10/5/2018,Standard Class,Texas,Labels,7.968
1/1/2022,9/29/2022,1/1/2018,,6,,,,,Office Supplies,Pasadena,United States,AS-10630,Ann Steele,0.2,77506,OFF-EN-10000461,#10- 4 1/8 x 9 1/2 Recycled Envelopes,9.4392,4,Central,986,Home Office,10/5/2018,Standard Class,Texas,Envelopes,27.968
1/1/2022,9/29/2022,1/1/2018,,6,,,,,Technology,Pasadena,United States,AS-10630,Ann Steele,0.4,77506,TEC-MA-10003066,Wasp CCD Handheld Bar Code Reader,44.868,3,Central,987,Home Office,10/5/2018,Standard Class,Texas,Machines,336.51
1/1/2022,12/26/2022,1/1/2018,,6,,,,,Office Supplies,Burlington,United States,PO-18850,Patrick O'Brill,0,52601,OFF-PA-10001509,Recycled Desk Saver Line While You Were Out Book 5 1/2 X 4,20.585,5,Central,1009,Consumer,1/1/2019,Standard Class,Iowa,Paper,44.75
1/1/2022,8/1/2022,1/1/2018,,2,,,,,Technology,Chicago,United States,AT-10735,Annie Thurman,0.2,60653,TEC-PH-10003931,JBL Micro Wireless Portable Bluetooth Speaker,5.999,2,Central,1010,Consumer,8/3/2018,First Class,Illinois,Phones,95.984
1/1/2022,7/9/2022,1/1/2018,,3,,,,,Office Supplies,Chicago,United States,NS-18640,Noel Staavos,0.2,60610,OFF-AR-10001130,Quartet Alpha White Chalk 12/Pack,2.9835,5,Central,1044,Corporate,7/12/2018,First Class,Illinois,Art,8.84
1/1/2022,7/9/2022,1/1/2018,,3,,,,,Office Supplies,Chicago,United States,NS-18640,Noel Staavos,0.8,60610,OFF-AP-10000055,Belkin F9S820V06 8 Outlet Surge,-146.16,9,Central,1045,Corporate,7/12/2018,First Class,Illinois,Appliances,58.464
1/1/2022,10/12/2022,1/1/2018,,4,,,,,Furniture,Rockford,United States,SN-20710,Steve Nguyen,0.3,61107,FUR-CH-10002304,Global Stack Chair without Arms Black,-18.186,14,Central,1046,Home Office,10/16/2018,Standard Class,Illinois,Chairs,254.604
1/1/2022,9/28/2022,1/1/2018,,2,,,,,Office Supplies,Brownsville,United States,CM-12160,Charles McCrossin,0.2,78521,OFF-SU-10001935,Staple remover,-0.3488,1,Central,1069,Consumer,9/30/2018,Second Class,Texas,Supplies,1.744
1/1/2022,4/21/2022,1/1/2018,,6,,,,,Office Supplies,Houston,United States,RP-19390,Resi Pölking,0.8,77041,OFF-BI-10004140,Avery Non-Stick Binders,-4.7145,3,Central,1103,Consumer,4/27/2018,Standard Class,Texas,Binders,2.694
1/1/2022,4/21/2022,1/1/2018,,6,,,,,Office Supplies,Houston,United States,RP-19390,Resi Pölking,0.8,77041,OFF-BI-10002049,UniKeep View Case Binders,-4.9878,3,Central,1104,Consumer,4/27/2018,Standard Class,Texas,Binders,2.934
1/1/2022,6/29/2022,1/1/2018,,5,,,,,Office Supplies,Minneapolis,United States,AA-10315,Alex Avila,0,55407,OFF-AP-10000576,Belkin 325VA UPS Surge Protector 6',90.735,3,Central,1160,Consumer,7/4/2018,Standard Class,Minnesota,Appliances,362.94
1/1/2022,6/29/2022,1/1/2018,,5,,,,,Office Supplies,Minneapolis,United States,AA-10315,Alex Avila,0,55407,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,5.77,2,Central,1161,Consumer,7/4/2018,Standard Class,Minnesota,Binders,11.54
1/1/2022,4/26/2022,1/1/2018,,1,,,,,Furniture,Fort Worth,United States,LB-16735,Larry Blacks,0.6,76106,FUR-FU-10000010,DAX Value U-Channel Document Frames Easel Back,-1.4413,1,Central,1359,Consumer,4/27/2018,First Class,Texas,Furnishings,1.988
1/1/2022,10/9/2022,1/1/2018,,5,,,,,Furniture,Aurora,United States,CK-12760,Cyma Kinney,0.5,60505,FUR-TA-10002958,Bevis Oval Conference Table Walnut,-430.617,5,Central,1395,Corporate,10/14/2018,Standard Class,Illinois,Tables,652.45
1/1/2022,10/9/2022,1/1/2018,,5,,,,,Furniture,Aurora,United States,CK-12760,Cyma Kinney,0.5,60505,FUR-TA-10001676,Hon 61000 Series Interactive Training Tables,-42.6528,3,Central,1396,Corporate,10/14/2018,Standard Class,Illinois,Tables,66.645
1/1/2022,11/4/2022,1/1/2018,,7,,,,,Office Supplies,Grand Prairie,United States,SZ-20035,Sam Zeldin,0.2,75051,OFF-LA-10003923,Alphabetical Labels for Top Tab Filing,8.88,2,Central,1411,Home Office,11/11/2018,Standard Class,Texas,Labels,23.68
